age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,depression_label
19,male,4.9,Both,4.4,2.2,1.5,2.9,High,4,1,7,0
16,male,7.1,Both,3.5,2.5,1.4,3.1,High,6,3,7,1
17,female,8.0,Instagram,4.3,3.0,1.1,2.2,Medium,8,5,8,1
19,female,1.7,Both,7.4,1.3,2.7,3.9,Medium,4,2,5,0
15,male,7.1,Instagram,4.7,2.4,2.2,3.7,Medium,6,3,7,1
17,female,4.4,Both,5.4,1.5,1.9,4.8,Medium,8,4,8,1
17,male,3.0,Instagram,6.6,1.2,2.8,6.4,Low,4,3,5,1
19,female,5.2,Both,6.1,2.9,2.4,3.0,High,5,2,8,1
14,female,2.2,Instagram,6.8,1.5,2.6,3.7,Low,5,3,4,1
15,female,2.3,Both,6.9,1.0,2.3,2.2,Medium,4,2,5,0
19,female,1.4,TikTok,8.2,1.1,3.2,7.1,Medium,3,1,3,0
15,male,5.5,Instagram,5.0,3.0,1.7,2.4,High,5,2,7,0
15,female,5.1,TikTok,6.3,1.7,2.8,4.6,Medium,6,4,7,0
17,female,3.0,TikTok,6.9,1.6,2.9,3.0,Medium,4,3,5,1
16,male,7.2,Both,4.1,2.7,1.2,2.6,Medium,9,5,10,1
15,female,3.3,Both,6.3,0.9,2.0,4.7,Low,5,5,6,1
18,male,6.8,TikTok,4.0,2.7,1.0,0.0,High,5,3,9,1
17,female,4.7,Instagram,5.3,2.0,1.9,3.1,High,3,1,7,0
14,male,3.3,Instagram,6.8,2.1,2.8,2.5,Medium,4,3,4,0
16,male,4.3,TikTok,5.6,1.8,1.9,2.2,Medium,5,4,6,0
18,female,2.2,TikTok,7.0,1.3,2.5,1.5,Medium,4,3,5,0
18,female,4.9,TikTok,5.5,2.3,1.8,1.3,Medium,6,4,7,0
14,male,4.6,Instagram,6.6,1.1,2.4,1.1,High,5,3,4,1
16,male,5.4,TikTok,4.6,2.4,1.8,1.9,Medium,5,4,5,0
17,female,6.1,Both,6.4,1.3,2.4,1.5,High,5,3,8,0
13,male,4.7,Instagram,6.8,1.8,2.8,3.4,Low,7,3,6,1
16,male,1.8,TikTok,7.2,1.2,2.8,5.7,Medium,2,1,4,0
14,female,6.2,Both,4.2,1.6,1.5,1.9,Medium,6,5,8,1
18,female,4.5,Both,5.6,1.5,2.7,3.2,Medium,7,3,8,1
17,male,1.1,TikTok,8.3,0.0,3.7,4.1,Medium,1,1,1,0
16,female,5.1,Both,6.1,1.8,2.4,1.4,Medium,4,2,6,1
13,female,5.2,Both,5.9,1.2,2.1,4.9,Medium,4,3,7,0
13,female,3.9,Instagram,7.0,1.6,2.9,2.2,High,4,1,7,0
15,female,4.1,TikTok,5.8,1.7,2.2,4.3,Medium,4,3,6,0
15,male,3.4,Instagram,7.2,1.4,3.8,5.3,Medium,3,2,4,0
19,male,5.2,TikTok,5.2,3.0,1.5,0.6,Medium,8,4,8,1
14,male,4.8,TikTok,5.8,1.3,2.2,1.0,Medium,5,4,5,0
16,female,2.9,Both,7.4,1.2,3.0,2.7,Medium,5,5,5,1
16,male,7.4,Instagram,4.4,3.0,2.3,2.2,Low,9,4,8,1
19,female,3.3,TikTok,7.0,1.8,2.3,3.5,Medium,6,3,5,0
18,male,1.0,TikTok,9.0,0.8,4.1,2.5,Low,4,1,3,0
18,male,3.7,TikTok,5.8,1.7,2.6,5.6,Medium,4,1,5,0
19,female,6.4,Both,5.5,2.5,1.1,1.8,Medium,7,4,9,0
18,male,4.1,TikTok,6.4,2.0,2.4,0.1,Low,5,3,5,0
15,male,1.6,Both,8.3,1.3,3.3,6.0,Low,5,2,6,0
16,female,2.6,TikTok,7.5,1.3,3.1,5.3,High,3,1,5,0
19,male,2.6,TikTok,7.8,1.5,3.7,1.1,High,3,1,3,0
16,female,3.5,Both,5.5,2.4,2.0,2.5,Medium,4,4,5,1
13,female,4.0,Instagram,5.6,1.4,1.8,4.9,Medium,6,4,6,0
15,male,5.4,Instagram,5.2,1.7,1.5,1.4,Low,6,5,5,0
17,female,4.7,Both,6.0,1.5,2.5,5.4,Medium,7,3,8,0
15,female,4.8,TikTok,6.6,2.1,2.9,0.7,High,4,3,6,1
19,male,7.7,Both,5.4,2.8,1.8,4.2,High,7,5,10,1
17,male,6.0,Both,5.4,1.5,1.7,0.0,Medium,6,5,7,1
13,male,5.9,TikTok,5.2,2.3,2.0,5.9,Medium,7,4,7,0
19,female,1.2,TikTok,6.8,1.1,3.8,0.0,Medium,3,3,4,0
14,male,3.1,TikTok,6.6,1.6,2.8,5.9,Medium,5,4,4,0
16,female,1.6,TikTok,7.4,0.8,3.5,1.3,High,1,1,2,0
13,female,3.1,Both,6.3,1.9,2.2,8.1,Medium,3,2,5,1
16,female,5.9,Both,5.7,2.8,2.2,3.7,Low,9,5,6,1
18,male,3.8,TikTok,6.9,1.1,3.1,5.0,Low,6,5,4,1
14,male,6.4,Instagram,4.4,2.1,1.4,4.3,Medium,7,4,8,0
14,female,5.7,TikTok,4.1,1.7,1.5,0.0,Low,7,2,5,1
13,male,4.6,Instagram,6.6,1.3,2.6,1.1,Low,8,5,5,0
14,male,6.5,Both,4.9,3.0,1.6,4.5,Medium,7,5,9,1
17,male,7.0,Instagram,5.2,2.2,2.4,8.7,Medium,6,4,8,1
14,male,5.3,Both,5.6,2.3,1.8,5.4,High,5,4,7,0
16,female,4.9,Both,4.8,2.5,1.8,4.2,Medium,6,5,8,1
16,male,5.6,Both,5.8,1.1,2.5,6.2,High,4,2,8,1
19,male,2.0,TikTok,7.2,0.9,3.2,3.5,Medium,3,1,3,0
16,male,4.3,Both,5.7,2.5,2.0,3.6,High,3,1,6,0
19,female,4.5,Both,6.0,3.0,2.6,3.2,Medium,6,3,6,0
16,female,3.8,Both,6.5,0.7,1.8,1.0,Low,7,3,7,1
17,male,3.1,TikTok,5.9,1.7,2.1,4.1,Medium,3,5,6,0
19,female,6.3,TikTok,6.4,1.4,2.2,2.7,Low,7,4,8,1
15,female,4.8,Both,5.3,2.2,1.9,2.7,Medium,7,3,9,1
18,female,5.0,Instagram,6.5,1.9,2.2,2.1,Medium,5,1,6,0
13,female,7.1,TikTok,6.7,1.3,1.9,1.9,Medium,7,4,6,1
16,male,4.1,Both,7.2,1.5,3.1,3.5,High,2,2,6,0
14,male,3.8,Instagram,6.9,1.3,2.1,3.3,High,5,1,6,0
16,male,7.0,TikTok,4.4,3.0,1.7,2.8,Medium,7,5,7,1
14,male,1.8,TikTok,7.8,1.3,3.5,4.7,High,1,1,4,0
18,female,4.6,Both,6.2,1.3,3.0,0.0,Low,3,3,6,0
18,male,3.2,Instagram,7.8,1.0,3.4,4.3,Low,5,3,4,0
